"(u'2014:10:12 17:48:10',)","(16,)","(0.02,)","(800,)"
"(u'2014:10:12 17:57:46',)","(16,)","(0.0008,)","(800,)"
"(u'2014:10:12 17:58:08',)","(16,)","(0.0015625,)","(800,)"
